k,inertia_pca
1,256.8740855678925
2,168.81189630685236
3,93.77462568057307
4,49.6654966517974
5,37.83946598681246
6,27.72062619489983
7,21.18277586295735
8,17.016962140077435
9,13.668324883664061
10,10.484890485976932
