k,inertia
1,287.0
2,198.5718180979813
3,123.19048183836958
4,79.02243535120975
5,65.302379141625
6,52.10180599356482
7,46.03525005555019
8,37.284806594046614
9,32.161417101072416
10,28.075252677898867
