PC1,PC2,PC3,k-segments
-0.6006673254375112,0.8427600624855464,0.4615945681105938,2
-0.45826071401031576,0.4584656644628879,0.9528767837135823,2
-0.4330698051365732,-0.1681263816932489,-0.6417519291406769,0
-0.47183494873890186,-0.22266007696008946,-0.47905315757557143,0
-1.1577999724406187,2.0412091852418506,1.8597152736981133,2
-0.5165337697386215,1.3883774818625911,0.8040713050022804,2
-0.45071133997172874,0.5176991167274111,2.8461431574752796,2
-0.3455997666169091,0.729439394532296,1.4780128444941136,2
-0.6494679214405735,0.43216513770741166,0.6003028588105253,2
-0.7590139422969432,-0.20119978804155597,-0.21765291815350665,0
-0.24819846472380497,-1.3762515898012444,-1.4620257131124939,0
-0.43840762223600743,-0.17533654196886259,-0.6633884037364076,0
-0.6934253333100077,-0.4738146235496413,-0.5275969255267896,0
0.06049914778111616,2.9094038518367817,1.4985713063809942,2
-0.39335242578562885,-0.10819197462493851,-0.01275608021343249,0
-0.796175635923241,-0.4944087524150394,1.0828116910517596,2
0.06407451856194539,-1.2698251355978087,-1.0988292750751876,0
-0.489015061021563,-0.7327191199192632,-0.06254323300898322,0
-0.30627229767490083,0.7034151468998158,1.7142235864193405,2
-0.5135277531437925,-0.1428023924137441,-0.6565658346817504,0
-0.3621204360718961,-0.9869144080114629,-0.7287523216679131,0
-0.6042646308186934,0.8273976353815304,0.4393159383396117,2
-0.41329560357216566,-0.6741152680768138,-1.0766283383557333,0
-0.4074830358443063,-0.21250654705338864,-0.35142562766632446,0
0.6089738213442418,0.5635321240704209,-1.1487415949964552,0
-0.4502111411067908,-0.15101945266574957,-0.6474006119131069,0
-0.7646652213141096,-0.5178855387924562,0.20499029001818703,0
-0.5563146750187824,-1.938209059538015,-1.26177588745035,0
-0.42514677429771724,0.4929761725450865,1.0580483724870309,2
2.6768676123254975,-0.01395409962136074,-1.9652072219391394,0
-0.6139227463582059,-0.4793368029042879,0.3395651327382913,0
-0.5799239778770816,-0.3563337705231611,-0.11494201872557594,0
8.089018214765574,-3.896890535486553,2.301382076493767,1
-0.3890452595780075,0.1650406340728075,0.37941369715552586,2
0.8657618298532765,-2.2618823859082173,0.27558289140280684,0
0.11167508357409729,0.4283157644390701,-1.2053979663131413,0
4.792395401459661,6.767678675262226,-1.9869854471135284,3
-0.6323549165416871,-2.1081171283340403,-0.6522273846771949,0
-0.5931421641297324,0.021484962427638834,0.2099114175636679,0
-0.4581305024102717,-0.1357340336216229,-0.6352835704640613,0
-0.29791044507831704,-0.19112560243280796,-0.9096017298481484,0
